YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2001,1.1,1.9,3.3,8.4,15,15.1,20.3,19.8,13,999.9,4.4,0,2.1,8.9,18.4,8.7,9.51
2002,2.1,5.4,5.6,8.7,15.7,17.9,19.5,21.1,15.1,8.3,4.3,-2.1,2.5,10,19.5,9.2,10.31
2003,-0.1,-1.7,4.8,9.1,15.7,19.9,20.5,21,15.5,6.5,6.4,2.7,-1.3,9.9,20.5,9.5,9.62
2004,-1.3,2.9,5.3,10.1,13,16.2,18,20.1,14.9,10.6,4.8,2.4,1.4,9.5,18.1,10.1,9.78
2005,3,-0.4,3.5,10.3,14,17.1,19.3,17.1,16.2,11.7,4.9,1.4,1.7,9.3,17.8,10.9,9.93
2006,-3.8,0,1.6,9.2,14.3,18.7,24.3,17.6,18.4,12.7,7.8,5.7,-0.8,8.4,20.2,13,10.18
2007,5.5,3.6,7.7,12.1,15.9,19.1,18.8,18.7,13.8,8.8,4.1,2.4,4.9,11.9,18.9,8.9,11.15
2008,4,5.1,4.9,8.9,15.6,19.2,20.1,19.1,13.9,10,999.9,2,3.8,9.8,19.5,9.5,10.64
2009,-1.8,999.9,999.9,999.9,999.9,16,20.1,20.8,16.4,8.5,8.2,0.6,0.2,999.9,19,11,9.95
2010,-4.5,0.3,5.1,9.8,11.6,18.4,23.3,18.9,13.7,8.6,5.4,-4,-1.2,8.8,20.2,9.2,9.27
2011,1.9,0.1,5.5,13.1,15.6,19,18.1,19,16.5,10.6,5,999.9,-0.7,11.4,18.7,10.7,10.03
2012,2.3,-1.3,8,9.9,15.9,16.8,19.2,19.4,15.5,9.8,5.9,1.1,0.8,11.3,18.5,10.4,10.23
2013,0.3,0.5,-0.5,9.4,14.4,17.9,21.4,19.7,13.6,11.5,5.6,4.5,0.6,7.8,19.7,10.2,9.58
2014,0.7,5.3,8.1,12.1,13.9,17.6,21.9,18.2,16.6,12.9,7.2,3,3.5,11.4,19.2,12.2,11.58
2015,3.3,2.1,6.3,9.7,13.9,17.2,20.4,22.6,14.8,9.2,8.1,7.4,2.8,10,20.1,10.7,10.88
2016,0.1,4.2,5.2,9.4,16.2,19.7,20.6,19.1,18.6,9.1,4.3,3.4,3.9,10.3,19.8,10.7,11.16
2017,-0.8,2.4,8,8.6,15.5,18.9,19.2,19.5,14.3,12,999.9,999.9,1.7,10.7,19.2,999.9,999.9
